url	chapt_title	img_path
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/index.html	About this Course	resources/chapt_screen_images/index.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/introduction.html	1 Introduction	resources/chapt_screen_images/introduction.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/latex.html	2 LaTeX	resources/chapt_screen_images/latex.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/overleaf.html	3 Overleaf	resources/chapt_screen_images/overleaf.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/writing-with-overleaf.html	4 Writing with Overleaf	resources/chapt_screen_images/writing-with-overleaf.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/figures-tables-citations-oh-my.html	5 Figures & tables & citations, oh my!	resources/chapt_screen_images/figures-tables-citations-oh-my.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/troubleshooting.html	6 Troubleshooting	resources/chapt_screen_images/troubleshooting.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/collaborating.html	7 Collaborating	resources/chapt_screen_images/collaborating.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/connecting-to-github.html	8 Connecting to GitHub	resources/chapt_screen_images/connecting-to-github.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/no_toc/references-1.html	9 References	resources/chapt_screen_images/references-1.png
